Powiat,Siedziba władz powiatu,Samochodowe tablice rejestracyjne,Województwo,Powierzchnia [km2],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km2],Przyrost rzeczywisty,id
powiat giżycki,Giżycko,NGI,warmińsko-mazurskie,1 119.51,56 465,50.44,-3.46,path390
Gliwice,miasto na prawach powiatu,SG. IG[c],śląskie,133.88,178 186,1 330.94,-5.40,path214
powiat gliwicki,Gliwice,SGL. IGL[c],śląskie,664.37,115 540,173.91,-0.27,path212
powiat głogowski,Głogów,DGL. VGL[c],dolnośląskie,443.27,88 852,200.45,-5.23,path170
powiat głubczycki,Głubczyce,OGL,opolskie,672.63,45 291,67.33,-8.49,path24
powiat gnieźnieński,Gniezno,PGN. MGN[c],wielkopolskie,1 255.03,145 393,115.85,1.34,path518
powiat goleniowski,Goleniów,ZGL,zachodniopomorskie,1 615.48,82 396,51.00,-0.27,path100
powiat golubsko-dobrzyński,Golub-Dobrzyń,CGD,kujawsko-pomorskie,612.85,44 952,73.35,-2.37,path542
powiat gołdapski,Gołdap,NGO,warmińsko-mazurskie,772.29,26 625,34.48,-7.46,path386
powiat gorlicki,Gorlice,KGR. JGR[c],małopolskie,966.46,108 778,112.55,-1.47,path74
powiat gorzowski,Gorzów Wielkopolski,FGW,lubuskie,1 214.23,72 054,59.34,5.37,path124
Gorzów Wielkopolski,miasto na prawach powiatu,FG,lubuskie,85.72,123 341,1 438.88,-2.83,path126
powiat gostyniński,Gostynin,WGS. AGS[c],mazowieckie,614.81,44 761,72.80,-6.64,path592
powiat gostyński,Gostyń,PGS. MGS[c],wielkopolskie,810.25,75 907,93.68,-0.13,path36
powiat górowski,Góra,DGR. VGR[c],dolnośląskie,738.27,34 698,47.00,-9.96,path174
powiat grajewski,Grajewo,BGR,podlaskie,967.62,47 039,48.61,-6.63,path376
powiat grodziski,Grodzisk Mazowiecki,WGM. AGM[c],mazowieckie,367.04,96 698,263.45,18.28,path596
powiat grodziski,Grodzisk Wielkopolski,PGO. MGO[c],wielkopolskie,641.87,51 940,80.92,-0.92,path498
powiat grójecki,Grójec,WGR. AGR[b],mazowieckie,1 267.73,98 173,77.44,-1.64,path586
Grudziądz,miasto na prawach powiatu,CG,kujawsko-pomorskie,57.76,94 076,1 628.74,-6.92,path552
powiat grudziądzki,Grudziądz,CGR,kujawsko-pomorskie,727.76,40 202,55.24,0.52,path550
powiat gryficki,Gryfice,ZGY,zachodniopomorskie,1 021.05,60 025,58.79,-7.42,path92
powiat gryfiński,Gryfino,ZGR,zachodniopomorskie,1 869.11,81 598,43.66,-8.02,path116
powiat hajnowski,Hajnówka,BHA,podlaskie,1 623.53,42 293,26.05,-13.02,path354
powiat hrubieszowski,Hrubieszów,LHR,lubelskie,1 268.02,62 473,49.27,-13.38,path286
powiat iławski,Iława,NIL,warmińsko-mazurskie,1 385.22,92 826,67.01,-1.15,path426
powiat inowrocławski,Inowrocław,CIN,kujawsko-pomorskie,1 225.18,159 311,130.03,-5.65,path566
powiat janowski,Janów Lubelski,LJA,lubelskie,875.28,45 503,51.99,-7.46,path650
powiat jarociński,Jarocin,PJA. MJA[c],wielkopolskie,587.29,71 507,121.76,-1.23,path758
powiat jarosławski,Jarosław,RJA. YJA[c],podkarpackie,1 028.66,120 097,116.75,-3.03,path274
